zip,county,fair_penetration,residential_tiv,median_hh_income,income_decile,fair_risk_score,pif,avg_annual_premium,nonrenew_rate,pif_per_owner_unit,exposure_millions
92661,06059,0.0013377926421404682,40188077.0,207554.0,10,1.0,20,1323.0,0.0874,0.0295,40.188077
92662,06059,0.002435064935064935,14378385.0,162045.0,10,1.0,7,1396.0,0.0787,0.0115,14.378385
92663,06059,0.0027974636329727715,66141661.0,155186.0406658122,10,1.0,47,954.0,0.0817,0.0095,66.141661
92672,06059,0.010318331503841932,800241245.0,112584.58115071646,8,1.3632538569424966,597,2740.0,0.0822,0.0862,800.241245
92673,06059,0.014707699913484118,1330455414.0,177183.11998792473,10,1.6798245614035088,805,2864.0,0.0844,0.0991,1330.455414
92675,06059,0.011297539149888142,1079830325.0,132229.12708988442,9,1.4309165526675787,621,2275.0,0.0938,0.0737,1079.830325
92676,06059,0.7975206611570248,660148597.0,101305.92915035281,7,3.0,594,3440.0,0.0926,0.9873,660.148597
92677,06059,0.011253714357969274,1150466229.0,141154.9875887819,9,1.5490943755958055,885,2145.0,0.0914,0.0523,1150.466229
92679,06059,0.1522929867898185,4877484091.0,208504.94523864822,10,2.316875,2851,2947.0,0.1007,0.3058,4877.484091
92683,06059,0.0021811502697738493,254656093.0,83628.82244326704,5,1.0,427,352.0,0.0891,0.034,254.656093
92688,06059,0.01877422480620155,1092228411.0,151297.31918576406,9,1.7091043671354553,1093,1193.0,0.0965,0.0991,1092.228411
92691,06059,0.0014427701186277653,153604737.0,136696.3390578751,9,1.0,165,1219.0,0.0784,0.0136,153.604737
92692,06059,0.00312128418549346,482521524.0,142620.6934442371,9,1.3433476394849786,401,1663.0,0.0877,0.0294,482.521524
92694,06059,0.01510756586898719,1187758414.0,188025.13137248615,10,1.4914285714285713,1023,1651.0,0.0932,0.1131,1187.758414
92701,06059,0.01635282457879088,74857880.0,74112.81757009125,4,1.0,120,402.0,0.0844,0.0359,74.85788
92703,06059,0.01224764468371467,117940214.0,78306.76044073625,4,1.0,211,342.0,0.0984,0.0315,117.940214
92704,06059,0.008051082731815658,144644440.0,97287.36065984856,6,1.0,242,341.0,0.0882,0.0231,144.64444
92705,06059,0.005748835365249281,459664508.0,147102.08843316557,9,1.1027667984189724,231,3934.0,0.0714,0.0238,459.664508
92706,06059,0.002118270079435128,39059786.0,99237.58593627866,6,1.0,39,578.0,0.0635,0.0073,39.059786
92707,06059,0.00946412584729505,108555988.0,98283.36942077783,6,1.0,169,369.0,0.0794,0.026,108.555988
92708,06059,0.0012920824061445698,116185213.0,112912.87275431407,8,1.0,121,449.0,0.0779,0.0102,116.185213
92780,06059,0.0007936507936507937,69491097.0,102449.58359686486,7,1.0,86,508.0,0.0744,0.0116,69.491097
92782,06059,0.0045482737233822615,157699038.0,144360.06325321537,9,1.3409090909090908,117,1134.0,0.0739,0.0164,157.699038
92801,06059,0.004298843759264749,92141311.0,83555.47086315713,5,1.0,130,459.0,0.0932,0.0175,92.141311
92802,06059,0.0026560424966799467,42237173.0,83970.21443141617,5,1.0,55,536.0,0.0845,0.0126,42.237173
92804,06059,0.0028874734607218684,130945902.0,79028.41711025889,4,1.0,176,456.0,0.0829,0.0167,130.945902
92805,06059,0.003152798108321135,100405440.0,87896.0106352416,5,1.0,123,480.0,0.0727,0.015,100.40544
92806,06059,0.0012872379551305626,50361367.0,99244.05579838812,6,1.0,64,536.0,0.0841,0.0124,50.361367
92807,06059,0.011763491899700754,629114695.0,147683.80111381167,9,1.6910994764397906,520,2649.0,0.0842,0.0537,629.114695
92808,06059,0.014561115668580805,714197897.0,153332.12734867077,10,1.369661266568483,574,1938.0,0.091,0.1148,714.197897
92821,06059,0.010986643688065489,453523563.0,123269.60683523807,8,1.131764705882353,390,2009.0,0.0721,0.0454,453.523563
92823,06059,0.043567052416609936,191355944.0,179725.13550351604,10,2.277486910994764,173,2090.0,0.0829,0.1093,191.355944
92831,06059,0.003820960698689956,73416695.0,96539.42744525879,6,1.0,60,1070.0,0.0701,0.0118,73.416695
92832,06059,0.003038743985819195,35021306.0,95810.81928995023,6,1.0,42,532.0,0.0684,0.0125,35.021306
92833,06059,0.003421727972626176,141348612.0,113898.540052761,8,1.0,161,597.0,0.0726,0.0181,141.348612
92835,06059,0.002953061858874728,93918314.0,129144.58142881787,9,1.0,68,1182.0,0.0735,0.0121,93.918314
92840,06059,0.0010906314756243866,79497505.0,92752.0604710492,6,1.0,98,468.0,0.0818,0.0129,79.497505
92841,06059,0.0009652509652509653,72940815.0,86668.15466333846,5,1.0,93,437.0,0.0881,0.0176,72.940815
92843,06059,0.0017716218392655823,73528236.0,89834.10894560105,5,1.0,114,381.0,0.0788,0.0189,73.528236
92844,06059,0.0017624250969333803,35267478.0,72569.71058024076,4,1.0,46,449.0,0.0808,0.0156,35.267478
92845,06059,0.00020032051282051281,13593264.0,135214.45071385652,9,1.0,15,514.0,0.0608,0.0036,13.593264
92860,06065,0.007838408200180886,423576083.0,125511.96229122348,8,1.2079646017699115,387,2006.0,0.1011,0.0711,423.576083
92861,06059,0.0024449877750611247,72745258.0,195170.741796737,10,1.0,31,3660.0,0.0736,0.0181,72.745258
92865,06059,0.0011412919424788862,19823148.0,129339.37908864432,9,1.0,21,604.0,0.0776,0.0047,19.823148
92866,06059,0.0009633911368015414,27273579.0,84445.70604883594,5,1.0,30,626.0,0.0604,0.0172,27.273579
92867,06059,0.0034036759700476512,318501469.0,134170.72538443736,9,1.51931330472103,208,1756.0,0.0733,0.0238,318.501469
92868,06059,0.0025234318673395817,23021176.0,95516.87097912756,6,1.0,33,520.0,0.0758,0.0117,23.021176
92869,06059,0.003975678203928906,347389025.0,158530.73049044705,10,1.4150943396226414,244,2101.0,0.0743,0.0292,347.389025
92870,06059,0.002321635860344674,102603145.0,114461.65211356619,8,1.0,111,691.0,0.0864,0.0111,102.603145
92879,06065,0.01158886602404419,365155505.0,95855.08342254501,6,1.0770676691729324,479,1088.0,0.1009,0.0588,365.155505
92880,06065,0.007890264627336732,1116083965.0,161213.0022698767,10,1.3836477987421383,967,1114.0,0.1033,0.0805,1116.083965
92881,06065,0.014700432365657814,815064980.0,144147.75147926444,9,1.5338235294117648,608,2341.0,0.1021,0.0841,815.06498
92882,06065,0.03925170068027211,2000321572.0,109242.45934677639,7,1.7870544090056286,1893,1725.0,0.1094,0.1513,2000.321572
92883,06065,0.05504915102770331,2269000220.0,132992.65372645846,9,2.3522633744855965,2144,2324.0,0.1234,0.2149,2269.00022
92886,06059,0.009422768199902282,1176980051.0,150891.4735322145,9,1.4993773349937733,750,2474.0,0.0811,0.0571,1176.980051
92887,06059,0.055545727932071465,1157261015.0,173110.04100652793,10,1.8847497089639116,771,2505.0,0.0863,0.1315,1157.261015
93001,06111,0.03681284743668931,714771808.0,91882.77161953093,6,1.854251012145749,671,3205.0,0.0802,0.1137,714.771808
93003,06111,0.006495088089632215,580091140.0,104973.42883237478,7,1.458233890214797,409,2898.0,0.0714,0.0377,580.09114
93004,06111,0.002685546875,82553636.0,119589.40349780656,8,1.0084033613445378,104,1464.0,0.0741,0.0142,82.553636
93010,06111,0.0038772757923128793,368579942.0,112755.60172032123,8,1.302491103202847,255,3629.0,0.071,0.0252,368.579942
93012,06111,0.01543274244004171,896207933.0,123082.82026937371,8,1.625,586,4741.0,0.0736,0.063,896.207933
93013,06083,0.043976060369502995,496316688.0,117939.89620343936,8,1.9111747851002865,328,4807.0,0.0806,0.097,496.316688
93015,06111,0.03496831729640929,297006242.0,85457.06932461396,5,1.6070381231671553,302,2906.0,0.0749,0.0889,297.006242
93021,06111,0.02718065316246383,1031104685.0,152026.09840659285,9,1.6104783599088839,789,3655.0,0.0828,0.0869,1031.104685
93022,06111,0.049104859335038366,379669243.0,106109.93901037518,7,2.1246290801186944,327,3466.0,0.0941,0.176,379.669243
93023,06111,0.11880316808448226,2079447937.0,83341.34459195747,5,2.0469121140142517,1603,4259.0,0.1101,0.2821,2079.447937
93030,06111,0.0015688735487919673,64934953.0,96421.39406656357,6,1.0,72,581.0,0.0772,0.0109,64.934953
93033,06111,0.0037954093620097594,106786047.0,86951.6420145275,5,1.0,171,623.0,0.0801,0.0181,106.786047
93035,06111,0.0020199469763918696,82989068.0,102012.75647643188,7,1.0,74,703.0,0.0777,0.0129,82.989068
93036,06111,0.003993154592127781,58548870.0,96766.10328578112,6,1.0,77,708.0,0.0819,0.0109,58.54887
93040,06111,0.05581395348837209,44946193.0,85147.0,5,1.946808510638298,73,2269.0,0.0688,0.3354,44.946193
93041,06111,0.0017457084666860634,27407671.0,79932.0078241863,4,1.0,54,454.0,0.0702,0.0172,27.407671
93060,06111,0.03904336550929261,583671624.0,86721.3969443301,5,1.6187175043327557,548,3535.0,0.0799,0.0995,583.671624
93063,06111,0.02585322481362424,1293635577.0,124233.73606813869,8,1.8907309721175585,1193,2687.0,0.0881,0.085,1293.635577
93065,06111,0.01843800743805982,2055128478.0,125450.51491801467,8,1.713431212615552,1591,3139.0,0.0951,0.0878,2055.128478
93066,06111,0.09275730622617535,229057982.0,136695.2771666812,9,1.3591549295774648,132,5768.0,0.087,0.1494,229.057982
93067,06083,0.04336734693877551,137980609.0,137117.0,9,1.9382716049382716,81,5233.0,0.0809,0.1025,137.980609
93101,06083,0.008207343412526998,242522916.0,89709.79748476823,5,1.1237623762376239,183,3858.0,0.0697,0.0613,242.522916
93103,06083,0.0605913717886573,1194191096.0,125195.82051277978,8,1.9792746113989637,567,6344.0,0.0833,0.1609,1194.191096
93105,06083,0.1238990894163308,2304930635.0,139125.13907332812,9,2.2119914346895073,1326,6336.0,0.0686,0.2425,2304.930635
93108,06083,0.25338865836791147,3798320662.0,185110.51757740034,10,2.347282948157402,1555,7431.0,0.1021,0.5889,3798.320662
93109,06083,0.00585877274128893,137619453.0,129090.92971026532,9,1.5227272727272727,82,3637.0,0.0749,0.0331,137.619453
93110,06083,0.013071895424836602,477051460.0,121888.95602395777,8,1.6430594900849858,298,5030.0,0.104,0.0809,477.05146
93111,06083,0.016666666666666666,672547353.0,140708.35818817889,9,1.9207650273224044,346,5579.0,0.0633,0.0806,672.547353
93117,06083,0.025150042869391254,557394533.0,96417.4897029447,6,1.5024752475247525,388,6225.0,0.0624,0.0636,557.394533
93201,06107,0.0,2591721.0,56308.2612979005,2,1.0,7,720.0,0.1136,0.1269,2.591721
93202,06031,0.0027624309392265192,2530536.0,68913.0,3,1.0,5,446.0,0.0672,0.0073,2.530536
93203,06029,0.008774495466510676,59973668.0,50769.11784806272,1,1.0,151,670.0,0.1096,0.0613,59.973668
93204,06031,0.005956320317670417,7902928.0,53778.29340939549,1,1.0588235294117647,16,573.0,0.0808,0.0121,7.902928
93205,06029,0.4260027662517289,122978249.0,38099.15752767219,1,2.6577017114914425,391,1510.0,0.2668,0.7024,122.978249
93206,06029,0.02,8018168.0,64902.83064308833,3,1.0,14,1072.0,0.1118,0.0611,8.018168
93207,06107,0.6027874564459931,85661184.0,59714.0,2,2.9575757575757575,174,2382.0,0.1739,1.9251,85.661184
93208,06107,0.0,18670408.0,59714.0,2,3.0,43,1852.0,0.1034,66.65,18.670408
93210,06019,0.008469055374592834,33466115.0,74227.58733786638,4,1.5555555555555556,56,3122.0,0.093,0.0229,33.466115
93212,06031,0.005582693649685973,8995818.0,53580.47089902065,1,1.0,21,465.0,0.0924,0.009,8.995818
93215,06029,0.004469536579628322,37884483.0,61353.3682943079,2,1.0,75,709.0,0.0748,0.0097,37.884483
93218,06107,0.0,3367805.0,79408.0,4,1.2,6,2531.0,0.0748,0.0754,3.367805
93219,06107,0.00299625468164794,5395961.0,51280.39518137216,1,1.0,10,1224.0,0.0859,0.0078,5.395961
93221,06107,0.0015282730514518594,40413909.0,75774.97499402131,4,1.6557377049180328,52,2478.0,0.0837,0.0173,40.413909
